Title,Author
Sinister Paradise,Robert Moore Williams
Timur,Kasimir Edschmid
"Lulu's Library, Volume II",Louisa M. Alcott
Roman Women,Alfred Brittain
With the Children on Sunday,Sylvanus Stall
The Boy Scouts in the Rockies,Herbert Carter
The Mind Digger,Winston Marks
"Punch, or the London Charivari, Vol. 25, July-December 1853",Various
Voyage To Eternity,Milton Lesser
of the Chiropteran Fauna of the Country,"J. Knox Jones,"
Time Fuze,Gordon Randall Garrett
Keep Your Shape,Robert Sheckley
The Animated Pinup,Lewis Parker
Pet Farm,Roger Dee
An Englishman in Paris,Albert Dresden Vandam
"Davenport Dunn, Volume 2 (of 2)",Charles James Lever
"Davenport Dunn, Volume 1 (of 2)",Charles James Lever
The O'Donoghue,Charles James Lever
Brink of Madness,Walter J. Sheldon
Toilers of the Sea,Victor Hugo
Belcaro,Vernon Lee
Maid Sally,Harriet A. Cheever
The Old Soldiers Story,James Whitcomb Riley
Jacko and Jumpo Kinkytail,Howard R. Garis
Voyage of the Paper Canoe,Nathaniel H. Bishop
Waterloo,Hilaire Belloc
Dave Dawson at Casablanca,Robert Sydney Bowen
"A Struggle for Rome, Vol. 2 (of 3)",Felix Dahn
Guy in the Jungle,William Murray Graydon
Methods of Authors,Hugo Erichsen
The Seventh Order,Gerald Allan Sohl
Tales of Troy and Greece,Andrew Lang
The Adventures of Huckleberry Finn,Mark Twain
"Sam, This is You",William Fitzgerald Jenkins
Northern Diamonds,Frank Lillie Pollock
The Boy With the U.S. Miners,Francis Rolt-Wheeler
The Book,Michael Shaara
The Art of Illustration,Henry Blackburn
The Trail of the Sandhill Stag,Ernest Seton-Thompson
Greek Women,Mitchell Carroll
The World with a Thousand Moons,Edmond Hamilton
The Honored Prophet,William E. Bentley
de vagabundos y espejo de tacaños,Francisco de Quevedo
"The Esperantist, Vol. 1, No. 7",Various
"The Esperantist, Vol. 1, No. 6",Various
Janice Day,Helen Beecher Long
A Soldier's Trial,Charles King
Dorothy at Oak Knowe,Evelyn Raymond
Practical High School Speller,Various
Vol. 12,Various
A Brief Account of Radio-activity,Francis Preston Venable
Vergif,Alexander Kielland
"Shakespeare's Dramas, King Lear",William Shakespeare
Love (trilogy),Christos Christovasilis
Pastoral Affair,Charles A. Stearns
The Destroying Angel,Louis Joseph Vance
Indian Child Life,Edwin Willard Deming and Therese O. Deming
The Dog,"Dinks, Mayhew and Hutchinson"
"Women of England, Volume 9 (of 10)",Bartlett Burleigh James
La philisophie zoologique avant Darwin,Edmond Perrier
Pero da Covilhan,Zeferino Norberto Gonçalves Brandão
Scenas da Roça,António Corrêa
"Encyclopaedia Britannica, 11th Edition, Volume 7, Slice 5",Various
For Every Man A Reason,Patrick Wilkins
"Historic Tales, Vol 14 (of 15)",Charles Morris
Paul Bunyan and His Loggers,Otis T. Howd and Cloice R. Howd
An American Girl Abroad,Adeline Trafton
A Yankee Flier in Italy,Rutherford G. Montgomery
Know Thy Neighbor,Elisabeth R. Lewis
A Letter to Lord Robert Bertie,Anonymous
Adventures of Bindle,Herbert George Jenkins
The Hitch Hikers,Vernon L. McCain
The State of New York,Anonymous
"Elevator Systems of the Eiffel Tower, 1889",Robert M. Vogel
First Man,Clyde Brown
Bell's Cathedrals: The Cathedral Church of Wells,Percy Dearmer
The Children of the Top Floor,Nina Rhoades
Seven Graded Sunday Schools,Various
Characters from Life,James Parkerson
Poetical Works,James Parkerson
The Bankrupt,James Parkerson
Stories of Our Naval Heroes,Various
Insidekick,Jesse Franklin Bone
"A Struggle for Rome, v. 1",Felix Dahn
The Golden Skull,John Blaine
The Caves of Fear,John Blaine
A Century of English Essays,Various
Sugar Plum,Reginald Bretnor
Non dir quattro se non l'hai nel sacco,Giuseppe Giacosa
Acquazzoni in montagna,Giuseppe Giacosa
Storia vecchia,Giuseppe Giacosa
English Verse,"Raymond MacDonald Alden, Ph.D"
A Frenchman in America,Max O'Rell
Tourcoing,Hilaire Belloc
Concerning the Late Earthquakes,Anonymous
Malplaquet,Hilaire Belloc
The Big Time,Fritz Reuter Leiber
Cathedral Cities of Spain,W. W. Collins
World Without War,E. G. von Wald
The Frontier Boys in the Sierras,Wyn Roosevelt
The Stages in the Social History of Capitalism,Henri Pirenne
Applied Physiology,Frank Overton
the Sick,"Jane A. Delano, Anne Hervey Strong and the"
The Princess and Joe Potter,James Otis
The Standard Cantatas,George P. Upton
"The Battle of Allatoona, October 5th, 1864",William Ludlow
Adventures and Reminiscences of a Volunteer,George T. Ulmer
Jenny,Sigrid Undset
Un p'tit homme,Paul Lacroix
Confidence Game,James McKimmey
A Wonder Book for Girls & Boys,Nathaniel Hawthorne
The Boy Scouts in the Blue Ridge,Herbert Carter
Dissertation on Slavery,St. George Tucker
A Thought For Tomorrow,Robert E. Gilbert
Assassin,Jesse Franklin Bone
The Story of the Trapper,A. C. Laut
Aguas fuertes,Armando Palacio Valdés
The Lion of Janina,Mór Jókai
The Wind Among the Reeds,William Butler Yeats
"The Atlantic Monthly, Volume 16, No. 94, August, 1865",Various
Among the Wild Tribes of the Afghan Frontier,T. L. Pennell
Wainer,Michael Shaara
High Man,Jay Clarke
The Indian Captive,Matthew Brayton
The Cynic's Rules of Conduct,"Chester Field, Jr."
The Flower Princess,Abbie Farwell Brown
Elsie at Viamede,Martha Finley
Tom Brown's School Days,Thomas Hughes
Felicitas,Felix Dahn
The Case and Exceptions,Frederick Trevor Hill
A Captive of the Roman Eagles,Felix Dahn
The Cold Heart,Adelbert von Chamisso and Wilhelm Hauff
Czechoslovak Fairy Tales,Parker Fillmore
The Adventures of the U-202,E. Spiegel
Romiosini's History,Argyris Eftaliotis
Idleness,Kostas Faltaits
Hoiman and the Solar Circuit,Gordon Dewey
Clean Break,Roger Dee
Foteini - The Magic Loom - The Good Fairy,Arsinoi Papadopoulou
The Brownies: Their Book,Palmer Cox
Assignment's End,Roger Dee
The Star Lord,Boyd Ellanby
A Mixture of Genius,Arnold Castle
The Utah Batteries: A History,Charles R. Mabey
The Woodlands Orchids,Frederick Boyle
Hungarian Sketches in Peace and War,Mór Jókai
The Land of Long Ago,Eliza Calvert Hall
The Irish Fairy Book,Various
dem Cap der guten Hoffnung,Charles Darwin
Sowing and Sewing,Charlotte Mary Yonge
A House-Party,Ouida
Cleek of Scotland Yard,Thomas W. Hanshew
Poitiers,Hilaire Belloc
Crecy,Hilaire Belloc
The Battle of Blenheim,Hilaire Belloc
Alda,Agnes Strickland
La messa di nozze; Un sogno; La bella morte,Federico De Roberto
Peace with Mexico,Albert Gallatin
The Sentimental Vikings,Richard Voorhees Risley
"The Works of Alexander Pope, Volume 1",Alexander Pope
The Raising and Care of Guinea Pigs,A. C. Smith
Eikon Basilike,King Charles I
"Nuevo Leon, Mexico",James S. Findley
"Tales from ""Blackwood,"" Volume 2",Various
Lord Stranleigh Abroad,Robert Barr
The Lion's Masquerade,Catherine Ann Turner Dorset
Folk-lore of Shakespeare,Thomas Firminger Thiselton-Dyer
"Encyclopaedia Britannica, 11th Edition, Volume 7, Slice 4",Various
Do Unto Others,Mark Clifton
geschikt voor rederijkers- & nutsvoordrachten,Gerlacus Ribbius
The shepherdess with the pearls,Pavlos Nirvanas
Los Gringos,Henry Agustus Wise
"A ""Y"" Girl in France",Katherine Shortall
Witch Stories,Elizabeth Lynn Linton
Historia da Grecia,José Fernandes Costa
Under Boy Scout Colors,Joseph Bushnell Ames
A Discourse on the Plague,Richard Mead
The Last Cruise of the Saginaw,George H. Read
Susanna and Sue,Kate Douglas Wiggin
An Introduction to the Philosophy of Law,Roscoe Pound
The Ballad of St. Barbara,Gilbert Keith Chesterton
Thomas Andrews,Shan F. Bullock
Venerable Philippine Duchesne,G. E. M
In the Oregon Country,George Palmer Putnam
Elsie on the Hudson,Martha Finley
The Beasts in the Void,Paul W. Fairman
Tangle Hold,F. L. Wallace
Chain of Command,Stephen Arr
Mammals from Southeastern Alaska,Rollin H. Baker
Rural Wealth and Welfare,George Thompson Fairchild
"Priests, Women, and Families",J. Michelet
Julio Diniz,Alberto Pimentel
The Variable Man,Philip K. Dick
Songs of the Army of the Night,Francis Adams
The Widow,Helen Rowland
The Intellectual Life,Philip Gilbert Hamerton
Prison of a Billion Years,C. H. Thames
Unbegotten Child,Winston Marks
Classes,Lassa Oppenheim
"The Scrap Book, Volume 1, No. 1",Various
Fugitive Poetry,Nathaniel Parker Willis
Poetical Works of William Lisle Bowles Vol. 2,William Lisle Bowles
Jan Vedder's Wife,Amelia Edith Huddleston Barr
The Romantic Analogue,W.W. Skupeldyckle
Marley's Chain,Alan Edward Nourse
Enemies,Daniel Defoe
Vers Ispahan,Pierre Loti
The Men of the Moss-Hags,S. R. Crockett
A Treatise on Relics,John Calvin
Maids Wives and Bachelors,Amelia Edith Huddleston Barr
The Dictator,Milton Lesser
The Graveyard of Space,Milton Lesser
Long Live the King,Guy Boothby
The Kenzie Report,Mark Clifton
André Kautokeinolainen,Laura Kieler
Area Handbook for Albania,"Eugene K. Keefe,"
The Enormous Room,Horace Leonard Gold and Robert Wilson Krepps
Wheels Within,Charles V. De Vet
Freudian Slip,Franklin Abel
Rulers of India: Lord Clive,George Bruce Malleson
To Choke an Ocean,Jesse Franklin Bone
"The Scrap Book, Volume 1, No. 6",Various
"The Scrap Book, Volume 1, No. 5",Various
"The Scrap Book, Volume 1, No. 4",Various
"The Scrap Book, Volume 1, No. 3",Various
"The Scrap Book. Volume 1, No. 2",Various
Child Versus Parent,Stephen Wise
Eleven Possible Cases,"Frank R. Stockton, Maurice Thompson,"
When the Cock Crows,Waldron Baily
Rose MacLeod,Alice Brown
Command,William McFee
Madeleine,Charles Paul de Kock
Montezuma,Hiram Hoyt Richmond
"Tales of the Caravan, Inn, and Palace",William Hauff
The Ego Machine,Henry Kuttner
The Vision of Elijah Berl,Frank Lewis Nason
Dusty Star,Olaf Baker
"Belford's Magazine, Vol 2, December 1888",Various
Turning Point,Alfred Coppel
Elsie in the South,Martha Finley
Barclay of the Guides,Herbert Strang
The Crimson Gardenia and Other Tales of Adventure,Rex Beach
Melusine,Jakob Wassermann
The Titanic Disaster Poem,J. H. McKenzie
The Pentecost of Calamity,Owen Wister
"Encyclopaedia Britannica, 11th Edition, Volume 7, Slice 3",Various
La legge Oppia,Anton Giulio Barrili
"The Adventures of Puss in Boots, Jr.",David Cory
The Patchwork Girl of Oz,L. Frank Baum
Loyal to the School,Angela Brazil
The Technique of Fiction Writing,Robert Saunders Dowst
Down-Adown-Derry,Walter De La Mare
The Curlytops Snowed In,Howard R. Garis
"Memoir of Jared Sparks, LL.D.",Brantz Mayer
Instant of Decision,Gordon Randall Garrett
The Executioner,Frank Riley
Japan,Dorothy Menpes
Christine,Amelia Edith Huddleston Barr
Frontier Boys in the South Seas,Wyn Roosevelt
St. Patrick's Eve,Charles James Lever
A Rent In A Cloud,Charles James Lever
"Punch, or the London Charivari, Vol. 158,  June 23, 1920",Various
"Punch, or the London Charivari, Vol. 158, June 16, 1920",Various
The Small World of M-75,"Ed M. Clinton, Jr"
Love Story,"Irving E. Cox, Jr"
Breeder Reaction,Winston Marks
Brown John's Body,Winston Marks
"The Galaxy, June 1877",Various
Book Repair and Restoration,Mitchell Buck
"Murfreesboro', Tennessee",Frederick Phisterer
Algumas lições de psicologia e pedologia,António Aurélio
The Banished,Wilhelm Hauff
Specimens of German Romance,Carl Franz van der Velde
Letters from a Cat,Helen Jackson
World of the Drone,Robert Abernathy
Atom Drive,Charles Louis Fontenay
Les langues sur le web,Marie Lebert
The Wine-ghosts of Bremen,Wilhelm Hauff
"Encyclopaedia Britannica, 11th Edition, Volume 6, Slice 8",Various
"The Daltons, Volume II (of II)",Charles James Lever
"The Daltons, Volume I (of II)",Charles James Lever
Confessions Of Con Cregan,Charles James Lever
The Pirates of Shan,Harold Leland Goodwin
American Slave Trade,Jesse Torrey
Boys of The Fort,Ralph Bonehill
Les soirées de l'orchestre,Hector Berlioz
The Hand,Gerald Allan Sohl
Stamped Caution,Raymond Zinke Gallun
Happy House,Jane D. Abbott
Grenfell: Knight-Errant of the North,Fullerton Waldo
On the right of the British line,Gilbert Nobbs
The Plants of Michigan,Henry Allan Gleason
The Lay of Havelok the Dane,Unknown
"Cottage Building in Cob, Pisé, Chalk and Clay",Clough Williams-Ellis
Josephine,John S. C. Abbott
Tales from the German,Various
The Boy Scouts in A Trapper's Camp,Thornton W. Burgess
Jimmy Kirkland and the Plot for a Pennant,Hugh S. Fullerton
Captain Macedoine's Daughter,William McFee
One Man's Poison,Robert Sheckley
Diplomatic Immunity,Robert Sheckley
The Third Day at Stone's River,Gilbert C. Kniffin
The Flaming Mountain,Harold Leland Goodwin
Eureka:,Edgar A. Poe
The Unprotected Species,Melvin Sturgis
Lauroj,Various
König Nußknacker und der arme Reinhold,Heinrich Hoffmann
Vivisection,Albert Leffingwell
Second Variety,Philip Kindred Dick
A Raw Recruit's War Experiences,Ansel D. Nickerson
Ancient Irish Poetry,Various
Seed of the Arctic Ice,H. G. Winter
The Battle of Stone River,Henry Myron Kendall
Banking,William A. Scott
The World That Couldn't Be,Clifford Donald Simak
Forget Me Nearly,Floyd L. Wallace
The Motor Girls on the Coast,Margaret Penrose
The Boy's Voice,J. Spencer Curwen
A Problem in Greek Ethics,John Addington Symonds
Island Life,Alfred Russel Wallace
Serão inquieto : contos,Patrício António
Stone's River,Wilson J. Vance
St. Paul's Epistle to the Ephesians,Charles Gore
Infantry,Walden Kelly
Fledermäuse,Gustav Meyrink
"S.N.Y. June and July, 1863",George W. Wingate
Horace Holden and Benj. H. Nute,Horace Holden
Special Delivery,Damon Francis Knight
A Feast of Demons,William Morrison
German Moonlight,Wilhelm Raabe
Deutscher Mondschein,Wilhelm Raabe
The Spiritualists and the Detectives,Allan Pinkerton
Modern Substitutes for Christianity,Pearson McAdam Muir
Border Raids and Reivers,Robert Borland
The Knights of Arthur,Frederik Pohl
A espada de Alexandre,Camilo Castelo Branco
A Chave do Enigma,António Feliciano de Castilho
Delenda est Carthago,Eduardo Pereira
An Introduction to Astronomy,Forest Ray Moulton
Miss Muffet's Christmas Party,Samuel McChord Crothers
Is There a Santa Claus?,Jacob A. Riis
The Reluctant Weapon,Howard L. Myers
The Forests of Mount Rainier National Park,Grenville F. Allen
'Round the yule-log: Christmas in Norway,Peter Christen Asbjørnsen
Titanic,Filson Young
Some of My War Stories,Allen Ripley Foote
A History of the Town of Fairfax,Jeanne Johnson Rust
To Alaska for Gold,Edward Stratemeyer
demi-brigade: 1792-1802,Jacques Fricasse
Territory in Bird Life,H. Eliot Howard
No Charge for Alterations,Horace Leonard Gold
Perfect Control,Richard Stockham
A Life Sentence,Adeline Sergeant
"Les mystères du peuple,  Tome IV",Eugène Sue
Dressed Game and Poultry à la Mode,Harriet A. de Salis
The Eel,Miriam Allen DeFord
Rough Translation,Jean M. Janis
The Tunnel Under The World,Frederik Pohl
Bezette stad,Paul van Ostayen
to Appomatox,"William B. Arnold, Edward T. Bouvé and"
Derelict,Alan Edward Nourse
What Rough Beast?,Jefferson Highe
Last Days of the Rebellion,Alanson M. Randol
My Service in the U.S. Colored Cavalry,Frederick W. Browne
O crime do padre Amaro,José Maria Eça de Queirós
Feline Red,Robert Sampson
The Birth of the War-God,Kalidasa
Graded Poetry: Third Year,Various
Cathedrals of Spain,John Allyne Gade
The Cathedrals of Northern Spain,Charles Rudy
Brknk's Bounty,Gerald Allan Sohl
Der Fliegende Holländer,Richard Wagner
The Ethical Way,Joseph Farrell
Joy Ride,Mark Meadows
Seven Poems and a Fragment,William Butler Yeats
Tunturikoski,Carl Anton Wetterbergh
Lectures on Horsemanship,Unknown
Garth and the Visitor,L. J. Stecher
Niagara,Peter Augustus Porter
Noorsche mythen uit de Edda's en de sagen,Hélène Adeline Guerber
Merchantmen-at-Arms,David W. Bone
Wyoming,John A. White
"Encyclopaedia Britannica, 11th Edition, Volume 6, Slice 7",Various
The Bartlett Mystery,Louis Tracy
Thompson's Cat,Robert Moore Williams
Cours de philosophie positive. (4/6),Auguste Comte
"Volume 20, September, 1877",Various
St. Peter's Umbrella,Kálmán Mikszáth
"Le livre, de l'imprimé au numérique",Marie Lebert
Leonore Stubbs,L. B. Walford
A Christian But a Roman,Mór Jókai
Rationalism,John Mackinnon Robertson
Artists Past and Present,Elisabeth Luther Cary
Le Bossu,Paul Féval
Evil Out of Onzar,Mark Ganes
The Cathedrals and Churches of the Rhine,Francis Miltoun
Sumerian Liturgies and Psalms,Stephen Langdon
Memoirs of Madame Vigée Lebrun,Marie Louise Elisabeth Vigée-Lebrun
Landmarks of Scientific Socialism,Friedrich Engels
Contamination Crew,Alan Edward Nourse
La politique du Paraguay,Claude de La Poëpe
The Song of the Wolf,Frank Mayer
Big Pill,Raymond Zinke Gallun
A Golfing Idyll,Violet Flint and A. Islay Bannerman
The Portal of Dreams,Charles Neville Buck
The Story of Hiawatha,Winston Stokes
The London Pulpit,J. Ewing Ritchie
Eden,Edgar Saltus
The Pearl of India,Maturin M. Ballou
Felony,James Causey
The Land of Nome,Lanier McKee
The Next Step in Religion,Roy Wood Sellars
Blooms of the Berry,Madison J. Cawein
Quelques aspects du vertige mondial,Pierre Loti
A Divorciada,José Augusto Vieira
Vol. 10 (of 25),Robert Louis Stevenson
An Artist in Crime,Rodrigues Ottolengui
The Story of General Pershing,Everett Titsworth Tomlinson
Undertones,Madison J. Cawein
The Pictures; The Betrothing,Ludwig Lewis Tieck
Linearen Linienörter des Elliptischen Raumes,Wolfgang Vogt
Doctor Bolus and His Patients,Unknown
"With the World's Great Travellers, Volume 1",Various
Ancient Pottery of the Mississippi Valley,William H. Holmes
Memorias de um pobre diabo,Bruno Henriques de Almeida Seabra
Contos,João da Camara
"Lettres à M. Panizzi - 3eme édition, Tome I",Prosper Mérimée
Anarchism,E. V. Zenker
"Tom Burke Of ""Ours"", Volume II (of II)",Charles James Lever
"Tom Burke Of ""Ours"", Volume I (of II)",Charles James Lever
"Historic Tales, Vol. XIII (of 15)",Charles Morris
Conservation Through Engineering,Franklin K. Lane
The Bright Shawl,Joseph Hergesheimer
You Don't Make Wine Like the Greeks Did,David E. Fisher
Idyllic Monologues,Madison J. Cawein
Two Latin Plays for High-School Students,Susan Paxson
"Astounding Stories, June, 1931",Various
The Old Die Rich,Horace Leonard Gold
Essays on the Constitution of the United States,Various
